ID,Date,Home,Away,Home,Away
1,221024,D2,D1,435,508
2,221024,D4,E1,545,164
3,221024,F5,F2,308,535
4,221024,A5,A4,-38,598
5,221024,B3,B5,278,529
6,221024,C2,C5,507,407
7,221024,C3,C4,0,1
8,221025,F3,F4,508,115
9,221025,F2,D4,0,1
10,221025,E4,E5,255,531
11,221025,C4,B5,86,505
12,221025,C5,B2,536,427
13,221025,C1,A2,549,347
14,221026,D1,F1,529,-299
15,221026,D5,D2,286,546
16,221026,E1,D3,534,423
17,221026,F3,E5,504,167
18,221026,A1,A3,436,553
19,221026,B4,B1,1,0
20,221026,C3,C2,0,1
21,221026,E3,E2,-151,508
22,221027,E2,E4,520,304
23,221027,F3,F5,547,298
24,221027,A2,A1,535,82
25,221027,B1,A5,1,0
26,221027,B4,B2,502,399
27,221027,B3,A3,522,479
28,221027,C3,C1,202,519
29,221031,F1,F4,557,304
30,221031,E4,F2,506,179
31,221031,A4,C5,339,528
32,221031,D3,D5,1,0
33,221031,B2,A1,504,361
34,221031,B1,C4,0,1
35,221031,E3,F1,519,301
36,221031,C1,C5,545,361
37,221101,F4,F5,-167,547
38,221101,E1,A3,0,1
39,221101,D3,D4,286,533
40,221101,D1,E2,256,539
41,221101,B5,A2,369,509
42,221101,B4,B3,504,477
43,221101,C2,A3,444,537
44,221102,F2,F3,109,566
45,221102,E5,E2,503,568
46,221102,E1,E3,0,1
47,221102,A5,A1,1,0
48,221102,B2,A4,227,519
49,221102,B5,F5,354,525
50,221102,C4,B3,370,524
51,221102,C5,B1,1,0
52,221102,E4,D5,539,536
53,221103,F3,F1,504,-237
54,221103,F4,D3,380,543
55,221103,D5,D1,120,519
56,221103,D2,E3,345,633
57,221103,A1,C3,1,0
58,221103,A2,A4,618,532
59,221103,C5,B3,502,33
60,221103,C4,A5,533,234
61,221103,C1,B4,509,179
